poem_slug,author_name,poem_title,poem_link,line_index,line_text,correct_last_word,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,no_choices,target_pos
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,2,Nor any want-begotten rest.,rest.,guest.,quest.,west.,rest.,breast.,chest.,False,NOUN
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,3,"I hold it true, whate’er befall,","befall,","install,","befall,","forestall,","recall,","baseball,",,False,NOUN
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,4,"      I feel it, when I sorrow most;",most;,,,,,,,True,ADV
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,5,      ‘Tis better to have loved and lost,lost,crossed,tossed,lost,,,,False,VERB
alfred-lord-tennyson-in-memoriam-ahh-1849,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,https://poets.org/poem/memoriam-h-h-obiit-mdcccxxxiii-27,6,Than never to have loved at all.,all.,,,,,,,True,OTHER
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,0,The year is dying in the night;,night;,night;,fight;,bite;,spite;,cite;,slight;,False,NOUN
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,1,"Ring out, wild bells, and let him die.",die.,die.,buy.,,,,,False,VERB
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,2,"Ring out the old, ring in the new,","new,","due,","few,","new,",,,,False,ADJ
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,3,"   Ring, happy bells, across the snow:",snow:,row:,joe:,foe:,blow:,snow:,grow:,False,NOUN
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,4,"   The year is going, let him go;",go;,go;,know;,slow;,,,,False,VERB
alfred-lord-tennyson-in-memoriam-ring-out-wild-bells,Alfred Lord Tennyson,"In Memoriam, [Ring out, wild bells]",https://poets.org/poem/memoriam-ring-out-wild-bells,5,"Ring out the false, ring in the true.",true.,due.,few.,true.,,,,False,ADJ
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,0,"Should auld acquaintance be forgot,","forgot,",,,,,,,True,VERB
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,1,And never brought to mind?,mind?,signed?,lined?,find?,mind?,,,False,VERB
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,2,"Should auld acquaintance be forgot,","forgot,",,,,,,,True,VERB
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,3,And auld lang syne!,syne!,,,,,,,True,NOUN
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,4,     Chorus:,Chorus:,Doris:,Chorus:,Morris:,Horace:,,,False,NOUN
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,5,"For auld lang syne, my dear,","dear,","tear,","spear,","queer,","deer,","greer,","dear,",False,NOUN
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,6,     For auld lang syne.,syne.,,,,,,,True,NOUN
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,7,"     We’ll tak a cup o’ kindness yet,","yet,",,,,,,,True,ADV
robert-burns-auld-lang-syne,Robert Burns,Auld Lang Syne,https://poets.org/poem/auld-lang-syne,8,     For auld lang syne.,syne.,,,,,,,True,NOUN
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,0,"We were very tired, we were very merry—",merry—,wary—,merry—,,,,,False,ADJ
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,1,We had gone back and forth all night on the ferry;,ferry;,airy;,bury;,carey;,ferry;,harry;,berry;,False,NOUN
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,2,"And you ate an apple, and I ate a pear,","pear,","heir,","air,","share,","square,","pear,","chair,",False,NOUN
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,3,From a dozen of each we had bought somewhere;,somewhere;,nowhere;,elsewhere;,somewhere;,,,,False,ADV
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,4,"And the sky went wan, and the wind came cold,","cold,","cold,","old,",,,,,False,ADJ
edna-st-vincent-millay-recuerdo,Edna St. Vincent Millay,Recuerdo,https://www.poetryfoundation.org/poetrymagazine/poems/14404/recuerdo,5,"And the sun rose dripping, a bucketful of gold.",gold.,told.,fold.,mold.,gold.,hold.,bold.,False,NOUN
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,0,"It little profits that an idle king,","king,","king,","spring,","string,","thing,","ring,",,False,NOUN
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,1,"By this still hearth, among these barren crags,","crags,","flags,","rags,","bags,","crags,",,,False,NOUN
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,2,"Match'd with an aged wife, I mete and dole",dole,,,,,,,True,VERB
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,3,"Unequal laws unto a savage race,","race,","brace,","trace,","lace,","race,","base,","bass,",False,NOUN
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,4,"That hoard, and sleep, and feed, and know not me.",me.,she.,three.,me.,,,,False,OTHER
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,5,I cannot rest from travel: I will drink,drink,,,,,,,True,VERB
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,6,Life to the lees: All times I have enjoy'd,enjoy'd,,,,,,,True,VERB
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,7,"Greatly, have suffer'd greatly, both with those",those,,,,,,,True,OTHER
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,8,"That loved me, and alone, on shore, and when",when,,,,,,,True,OTHER
alfred-lord-tennyson-ulysses,Alfred Lord Tennyson,Ulysses,https://www.poetryfoundation.org/poems/45392/ulysses,9,Thro' scudding drifts the rainy Hyades,Hyades,Companies,Bumblebees,Indices,Libraries,Liberties,Hyades,False,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,0,"I saw the best minds of my generation destroyed by madness, starving hysterical naked,","naked,",,,,,,,True,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,1,"dragging themselves through the negro streets at dawn looking for an angry fix,","fix,","tricks,","bricks,","sticks,","mix,","fix,","nick's,",False,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,2,"angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night,","night,","light,","bite,","plight,","write,","knight,","night,",False,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,3,"who poverty and tatters and hollow-eyed and high sat up smoking in the supernatural darkness of cold-water flats floating across the tops of cities contemplating jazz,","jazz,",,,,,,,True,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,4,"who bared their brains to Heaven under the El and saw Mohammedan angels staggering on tenement roofs illuminated,","illuminated,","disseminated,","illuminated,","negotiated,","necessitated,","initiated,","originated,",False,VERB
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,5,"who passed through universities with radiant cool eyes hallucinating Arkansas and Blake-light tragedy among the scholars of war,","war,","fore,","bore,","score,","floor,","war,","roar,",False,NOUN
allen-ginsberg-howl,Allen Ginsberg,Howl,https://www.poetryfoundation.org/poems/49303/howl,6,"who were expelled from the academies for crazy & publishing obscene odes on the windows of the skull,","skull,","dull,","hull,","null,","skull,",,,False,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,0,"What thoughts I have of you tonight, Walt Whitman, for I walked down the sidestreets under the trees with a headache self-conscious looking at the full moon.",moon.,june.,strewn.,spoon.,moon.,tune.,noon.,False,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,1,"         In my hungry fatigue, and shopping for images, I went into the neon fruit supermarket, dreaming of your enumerations!",enumerations!,,,,,,,True,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,2,"         What peaches and what penumbras! Whole families shopping at night! Aisles full of husbands! Wives in the avocados, babies in the tomatoes!—and you, Garcia Lorca, what were you doing down by the watermelons?",watermelons?,,,,,,,True,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,3,"         I saw you, Walt Whitman, childless, lonely old grubber, poking among the meats in the refrigerator and eyeing the grocery boys.",boys.,joys.,poise.,boy's.,boys.,noise.,toys.,False,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,4,         I heard you asking questions of each: Who killed the pork chops? What price bananas? Are you my Angel?,Angel?,,,,,,,True,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,5,"         I wandered in and out of the brilliant stacks of cans following you, and followed in my imagination by the store detective.",detective.,reflective.,perspective.,detective.,respective.,protective.,subjective.,False,NOUN
allen-ginsberg-a-supermarket-in-california,Allen Ginsberg,A Supermarket in California,https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california,6,"         We strode down the open corridors together in our solitary fancy tasting artichokes, possessing every frozen delicacy, and never passing the cashier.",cashier.,career.,cashier.,frontier.,premier.,,,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,0,"Had we but world enough and time,","time,","prime,","lime,","i'm,","time,","climb,",,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,1,"This coyness, lady, were no crime.",crime.,prime.,i'm.,crime.,climb.,lime.,,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,2,"We would sit down, and think which way",way,gay,way,sway,prey,play,kay,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,3,"To walk, and pass our long love’s day.",day.,ray.,day.,sway.,gray.,gay.,hey.,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,4,Thou by the Indian Ganges’ side,side,side,guide,i'd,slide,eyed,bride,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,5,Shouldst rubies find; I by the tide,tide,ride,i'd,guide,bride,tide,eyed,False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,6,Of Humber would complain. I would,would,could,would,,,,,False,OTHER
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,7,"Love you ten years before the flood,","flood,","mud,","bud,","blood,","budd,","flood,","stud,",False,NOUN
andrew-marvell-to-his-coy-mistress,Andrew Marvell,To His Coy Mistress,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,8,"And you should, if you please, refuse",refuse,,,,,,,True,VERB
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,0,"If ever two were one, then surely we.",we.,we.,she.,three.,,,,False,OTHER
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,1,"If ever man were loved by wife, then thee.",thee.,see.,thee.,,,,,False,VERB
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,2,"If ever wife was happy in a man,","man,","fan,","fran,","plan,","pan,","anne,","man,",False,NOUN
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,3,"Compare with me, ye women, if you can.",can.,,,,,,,True,OTHER
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,4,"I prize thy love more than whole mines of gold,","gold,","gold,","bold,","told,","cold,","mold,","fold,",False,NOUN
anne-bradstreet-to-my-dear-and-loving-husband,Anne Bradstreet,To my dear and loving husband,https://www.poetryfoundation.org/poems/43701/to-my-dear-and-loving-husband,5,Or all the riches that the East doth hold.,hold.,cold.,hold.,mold.,told.,fold.,bold.,False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,0,I therefore will begin. Soul of the age!,age!,cage!,age!,page!,rage!,gauge!,wage!,False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,1,"The applause, delight, the wonder of our stage!",stage!,rage!,cage!,stage!,wage!,page!,gauge!,False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,2,"My Shakespeare, rise! I will not lodge thee by",by,by,why,,,,,False,OTHER
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,3,"Chaucer, or Spenser, or bid Beaumont lie",lie,pry,lie,die,guy,dry,fly,False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,4,"A little further, to make thee a room:",room:,loom:,room:,groom:,gloom:,bloom:,boom:,False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,5,"Thou art a monument without a tomb,","tomb,","bloom,","loom,","groom,","tomb,","boom,","gloom,",False,NOUN
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,6,And art alive still while thy book doth live,live,,,,,,,True,ADJ
ben-jonson-to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",https://www.poetryfoundation.org/poems/44466/to-the-memory-of-my-beloved-the-author-mr-william-shakespeare,7,And we have wits to read and praise to give.,give.,,,,,,,True,VERB
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,0,"But for now I am a willing prisoner in this house,","house,","mouse,","house,",,,,,False,NOUN
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,1,a sympathizer with the anarchic cause of snow.,snow.,joe.,throw.,woe.,snow.,blow.,pro.,False,NOUN
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,2,I will make a pot of tea,tea,mee,fee,knee,plea,tea,lee,False,NOUN
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,3,"and listen to the plastic radio on the counter,","counter,",,,,,,,True,NOUN
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,4,as glad as anyone to hear the news,news,views,fuse,hughes,news,cruz,screws,False,NOUN
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,5,"that the Kiddie Corner School is closed,","closed,","closed,","posed,","dozed,",,,,False,VERB
billy-collins-snow-day,Billy Collins,Snow Day,https://www.poetryfoundation.org/poems/46712/snow-day,6,"the Ding-Dong School, closed.",closed.,posed.,closed.,dozed.,,,,False,VERB
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,0,One bright morning in a restaurant in Chicago,Chicago,Cicero,Chicago,Ratio,Overthrow,Tobacco,Staccato,False,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,1,"as I waited for my eggs and toast,","toast,","ghost,","toast,","boast,","coast,","post,","host,",False,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,2,I opened the Tribune only to discover,discover,,,,,,,True,VERB
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,3,that I was the same age as Cheerios.,Cheerios.,,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,4,"Indeed, I was a few months older than Cheerios",Cheerios,,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,5,"for today, the newspaper announced,","announced,","announced,","denounced,","pronounced,",,,,False,VERB
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,6,was the seventieth birthday of Cheerios,Cheerios,,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,7,whereas mine had occurred earlier in the year.,year.,spear.,year.,ear.,shear.,dear.,peer.,False,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,8,Already I could hear them whispering,whispering,,,,,,,True,VERB
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,9,"behind my stooped and threadbare back,","back,",,,,,,,True,ADV
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,10,Why that dude’s older than Cheerios,Cheerios,,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,11,the way they used to say,say,,,,,,,True,VERB
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,12,"Why that’s as old as the hills,","hills,","pills,","hills,","mills,","kills,","fills,","skills,",False,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,13,only the hills are much older than Cheerios,Cheerios,,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,14,"or any American breakfast cereal,","cereal,",,,,,,,True,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,15,"and more noble and enduring are the hills,","hills,","hills,","ills,","bill's,","pills,","mills,","kills,",False,NOUN
billy-collins-cheerios,Billy Collins,Cheerios,https://poets.org/poem/cheerios,16,I surmised as a bar of sunlight illuminated my orange juice.,juice.,juice.,truce.,spruce.,use.,,,False,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,0,there’s a bluebird in my heart that ,that,,,,,,,True,OTHER
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,1,wants to get out ,out,,,,,,,True,ADV
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,2,"but I’m too tough for him, ","him,",,,,,,,True,OTHER
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,3,"I say, stay in there, I’m not going ",going,going,throwing,growing,slowing,glowing,sewing,False,VERB
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,4,to let anybody see ,see,,,,,,,True,VERB
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,5,you. ,you.,through.,two.,you.,who.,,,False,OTHER
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,6,there’s a bluebird in my heart ,heart,start,part,hart,smart,cart,heart,False,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,7,that wants to get out ,out,,,,,,,True,ADV
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,8,but I pour whiskey on him and inhale ,inhale,inhale,detail,entail,prevail,,,False,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,9,cigarette smoke ,smoke,spoke,joke,oak,smoke,folk,woke,False,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,10,and the whores and the bartenders ,bartenders,,,,,,,True,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,11,and the grocery clerks ,clerks,turks,clerk's,clerks,works,,,False,NOUN
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,12,never know that ,that,,,,,,,True,OTHER
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,13,he’s ,he’s,,,,,,,True,VERB
charles-bukowski-bluebird,Charles Bukowski,bluebird,https://www.poetryfoundation.org/poems/58881/bluebird-56d23d653d4e8,14,in there.,there.,where.,there.,their.,,,,False,OTHER
charles-dickens-a-tale-of-two-cities,Charles Dickens,A Tale of Two Cities,,0,"It was the best of times, it was the worst of times,","times,","times,","crimes,",,,,,False,NOUN
charles-dickens-a-tale-of-two-cities,Charles Dickens,A Tale of Two Cities,,1,"    it was the age of wisdom, it was the age of foolishness,","foolishness,",,,,,,,True,NOUN
